,,2004,2005,2006,2007,2008,2009,2010,2011,2012r,2013r,2014p,,2013r-2014p,,,Area,Population density 2014
LGA code,Local Government Area,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,%,no.,,km2,persons/km2
,,,,,,,,,,,,,,,,,,
10050,Albury (C),46505,47004,47566,48140,48518,48814,49222,49451,49709,50235,51082,,1.7,847,,305.9,167.0
10110,Armidale Dumaresq (A),24171,24115,24146,24275,24573,24862,25046,25158,25298,25372,25327,,-0.2,-45,,4230.8,6.0
10150,Ashfield (A),40614,40832,41269,41916,42207,42766,43038,43538,43744,44170,44498,,0.7,328,,8.3,5373.4
10200,Auburn (C),63318,65924,67819,70232,72630,74920,76640,77779,80540,83355,85446,,2.5,2091,,32.5,2631.0
10250,Ballina (A),39120,39305,39537,39824,40020,40295,40571,40747,41015,41335,41644,,0.7,309,,484.7,85.9
10300,Balranald (A),2596,2545,2507,2473,2433,2404,2381,2353,2340,2370,2400,,1.3,30,,21693.1,0.1
10350,Bankstown (C),172208,173282,175789,179352,182679,185770,188185,190851,193605,196946,200357,,1.7,3411,,76.8,2608.8
10470,Bathurst Regional (A),36245,36547,36916,37272,37904,38848,39484,39960,40368,41040,41682,,1.6,642,,3816.4,10.9
10550,Bega Valley (A),31406,31608,31829,32183,32367,32620,32962,33128,33242,33282,33468,,0.6,186,,6279.0,5.3
10600,Bellingen (A),12672,12682,12716,12773,12787,12837,12891,12923,12858,12852,13032,,1.4,180,,1600.4,8.1
10650,Berrigan (A),8014,8076,8160,8204,8237,8282,8291,8297,8330,8364,8413,,0.6,49,,2065.9,4.1
10750,Blacktown (C),271434,275206,278894,284925,292002,299450,306601,312346,318038,325139,332424,,2.2,7285,,240.1,1384.5
10800,Bland (A),6360,6263,6212,6178,6113,6101,6049,6021,6056,5990,5994,,0.1,4,,8557.7,0.7
10850,Blayney (A),6598,6649,6741,6821,6900,7041,7143,7217,7279,7320,7409,,1.2,89,,1524.9,4.9
10900,Blue Mountains (C),76436,75971,75600,76198,77102,77869,78227,78553,78748,79181,79688,,0.6,507,,1431.2,55.7
10950,Bogan (A),3027,2964,2939,2972,2992,2999,3013,3009,3034,3036,3076,,1.3,40,,14600.5,0.2
11000,Bombala (A),2576,2577,2589,2567,2534,2516,2503,2484,2428,2401,2422,,0.9,21,,3946.6,0.6
