,,2004,2005,2006,2007,2008,2009,2010,2011,2012r,2013r,2014p,,2013r-2014p,,,Area,Population density 2014
LGA code,Local Government Area,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,%,no.,,km2,persons/km2
,,,,,,,,,,,,,,,,,,
30250,Aurukun (S),1110,1098,1089,1164,1252,1315,1365,1398,1397,1400,1410,,0.7,10,,7347.2,0.2
30300,Balonne (S),5000,4878,4754,4760,4786,4813,4833,4862,4839,4881,4888,,0.1,7,,31106.2,0.2
30370,Banana (S),14959,14913,15026,14883,14880,14941,14855,14812,14969,15184,15236,,0.3,52,,28546.3,0.5
30410,Barcaldine (R),3350,3359,3341,3338,3322,3303,3295,3292,3312,3359,3359,,0,0,,53520.7,0.1
30450,Barcoo (S),404,381,370,364,371,360,360,363,363,363,362,,-0.3,-1,,61825,0
30760,Blackall-Tambo (R),2164,2126,2063,2076,2124,2171,2216,2257,2285,2315,2306,,-0.4,-9,,30389.1,0.1
30900,Boulia (S),477,456,434,428,443,456,485,493,494,496,497,,0.2,1,,60955.8,0
31000,Brisbane (C),949935,967989,987831,1010222,1033472,1057692,1073144,1089879,1110332,1129846,1146787,,1.5,16941,,1338.1,857
31750,Bulloo (S),417,397,380,369,379,390,405,418,416,408,406,,-0.5,-2,,73762.8,0
31820,Bundaberg (R),80991,82876,84816,86486,88599,90335,91400,92063,93403,93878,94283,,0.4,405,,6435.6,14.7
31900,Burdekin (S),17636,17536,17451,17568,17653,17776,17786,17775,17941,17890,17916,,0.1,26,,5043.4,3.6
31950,Burke (S),492,506,512,532,542,543,549,557,559,556,559,,0.5,3,,40039.2,0
32080,Cairns (R),123392,127336,131843,136251,141403,145962,148943,150992,154073,156934,158985,,1.3,2051,,1687.9,94.2
32250,Carpentaria (S),2191,2080,2003,2087,2124,2136,2182,2197,2204,2223,2245,,1,22,,64124.9,0
32260,Cassowary Coast (R),29337,29124,28603,28706,28739,28761,28718,28636,28758,28664,28705,,0.1,41,,4685,6.1
32270,Central Highlands (R),26141,26661,27265,27596,28090,28714,29082,29541,30515,31256,31595,,1.1,339,,59834.9,0.5
32310,Charters Towers (R),11872,11783,11729,11915,12096,12239,12316,12434,12446,12478,12517,,0.3,39,,68373.6,0.2
32330,Cherbourg (S),1192,1188,1182,1190,1206,1222,1245,1264,1280,1285,1292,,0.5,7,,31.6,40.9
